         292146 function calls (287096 primitive calls) in 16.003 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   16.003   16.003 /Users/armaan/Desktop/Fall-2023 Classes/Cloud-Computing/ECE-465-Cloud-Computing/ray_cluster_mandelbrot_solver/src/helpers.py:43(generate_mandelbrot_video)
       30    0.000    0.000   15.570    0.519 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/auto_init_hook.py:21(auto_init_wrapper)
    53/34    0.000    0.000   15.451    0.454 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/client_mode_hook.py:92(wrapper)
        2    0.000    0.000   12.296    6.148 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:2462(get)
        2    0.000    0.000   12.296    6.148 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:730(get_objects)
        2   12.287    6.143   12.287    6.143 {method 'get_objects' of 'ray._raylet.CoreWorker' objects}
       28    0.000    0.000    3.273    0.117 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/remote_function.py:132(_remote_proxy)
       30    0.000    0.000    3.155    0.105 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/auto_init_hook.py:9(auto_init_ray)
        1    0.000    0.000    3.154    3.154 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:1124(init)
        1    0.002    0.002    1.850    1.850 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:52(__init__)
        1    0.001    0.001    1.690    1.690 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1395(start_head_processes)
        1    0.001    0.001    1.355    1.355 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1150(start_api_server)
        1    0.002    0.002    1.354    1.354 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:1037(start_api_server)
        1    1.242    1.242    1.250    1.250 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:2074(connect)
       10    1.031    0.103    1.031    0.103 {built-in method time.sleep}
        1    0.001    0.001    0.433    0.433 /Users/armaan/Desktop/Fall-2023 Classes/Cloud-Computing/ECE-465-Cloud-Computing/ray_cluster_mandelbrot_solver/src/helpers.py:17(compile_video)
   217/11    0.002    0.000    0.418    0.038 <frozen importlib._bootstrap>:1165(_find_and_load)
   217/11    0.002    0.000    0.418    0.038 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   446/17    0.000    0.000    0.416    0.024 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    164/9    0.001    0.000    0.415    0.046 <frozen importlib._bootstrap>:666(_load_unlocked)
    132/9    0.001    0.000    0.414    0.046 <frozen importlib._bootstrap_external>:934(exec_module)
    148/9    0.003    0.000    0.412    0.046 {built-in method builtins.exec}
        2    0.000    0.000    0.406    0.203 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/utils.py:1522(check_dashboard_dependencies_installed)
        1    0.000    0.000    0.404    0.404 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/dashboard/optional_deps.py:1(<module>)
       30    0.026    0.001    0.354    0.012 {built-in method numpy.array}
       14    0.004    0.000    0.328    0.023 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/Image.py:668(__array_interface__)
       14    0.001    0.000    0.323    0.023 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/Image.py:708(tobytes)
        8    0.000    0.000    0.312    0.039 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:674(get_gcs_client)
        1    0.312    0.312    0.312    0.312 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:679(_init_gcs_client)
       14    0.001    0.000    0.289    0.021 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/ImageFile.py:155(load)
      120    0.282    0.002    0.282    0.002 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.261    0.261 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/__init__.py:1(<module>)
    35/25    0.000    0.000    0.241    0.010 {built-in method builtins.__import__}
   177/74    0.000    0.000    0.240    0.003 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.202    0.202 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/client.py:1(<module>)
      592    0.008    0.000    0.131    0.000 {built-in method builtins.__build_class__}
       28    0.000    0.000    0.118    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/util/tracing/tracing_helper.py:297(_invocation_remote_span)
       28    0.002    0.000    0.118    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/remote_function.py:255(_remote)
2337/2198    0.005    0.000    0.114    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:352(inner)
        1    0.000    0.000    0.108    0.108 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:430(wait_for_node)
       28    0.000    0.000    0.102    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/remote_function.py:397(invocation)
        1    0.000    0.000    0.100    0.100 /Users/armaan/Desktop/Fall-2023 Classes/Cloud-Computing/ECE-465-Cloud-Computing/ray_cluster_mandelbrot_solver/src/helpers.py:80(<listcomp>)
       28    0.084    0.003    0.099    0.004 {method 'submit_task' of 'ray._raylet.CoreWorker' objects}
      239    0.096    0.000    0.096    0.000 {built-in method builtins.compile}
  405/266    0.000    0.000    0.093    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:479(__getitem__)
    32/10    0.000    0.000    0.091    0.009 <frozen importlib._bootstrap_external>:1239(exec_module)
    32/10    0.021    0.001    0.091    0.009 {built-in method _imp.exec_dynamic}
     1175    0.004    0.000    0.085    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:168(_type_check)
      139    0.000    0.000    0.085    0.001 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:702(Optional)
        1    0.000    0.000    0.080    0.080 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/connector.py:1(<module>)
     1276    0.001    0.000    0.079    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:159(_type_convert)
      100    0.000    0.000    0.078    0.001 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:845(__init__)
        1    0.000    0.000    0.076    0.076 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/connector.py:723(TCPConnector)
        1    0.000    0.000    0.074    0.074 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/compositing/concatenate.py:15(concatenate_videoclips)
      2/1    0.000    0.000    0.073    0.073 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/compositing/CompositeVideoClip.py:48(__init__)
       16    0.000    0.000    0.070    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/VideoClip.py:1002(__init__)
       16    0.000    0.000    0.069    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/numpy/lib/shape_base.py:1185(tile)
       16    0.069    0.004    0.069    0.004 {method 'repeat' of 'numpy.ndarray' objects}
  164/163    0.001    0.000    0.061    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.060    0.060 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http.py:1(<module>)
        1    0.000    0.000    0.055    0.055 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/compositing/CompositeVideoClip.py:97(<listcomp>)
       32    0.000    0.000    0.054    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
       32    0.053    0.002    0.054    0.002 {built-in method _imp.create_dynamic}
       14    0.000    0.000    0.054    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/VideoClip.py:566(add_mask)
        1    0.000    0.000    0.053    0.053 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/worker.py:1(<module>)
        6    0.002    0.000    0.053    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:704(start_ray_process)
        6    0.002    0.000    0.048    0.008 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/subprocess.py:807(__init__)
        6    0.002    0.000    0.046    0.008 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/subprocess.py:1789(_execute_child)
        1    0.000    0.000    0.042    0.042 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:514(canonicalize_bootstrap_address)
        1    0.000    0.000    0.042    0.042 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:381(get_ray_address_from_environment)
        1    0.000    0.000    0.042    0.042 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:370(find_gcs_addresses)
        1    0.002    0.002    0.042    0.042 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:277(_find_address_from_flag)
       28    0.001    0.000    0.040    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:1489(wrap)
      132    0.002    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.036    0.036 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/grpc/__init__.py:1(<module>)
      217    0.003    0.000    0.036    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.035    0.035 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_parser.py:1(<module>)
2205/1470    0.002    0.000    0.034    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_psosx.py:343(wrapper)
        1    0.000    0.000    0.034    0.034 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web.py:1(<module>)
        1    0.000    0.000    0.031    0.031 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/tracing.py:1(<module>)
      217    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      217    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      273    0.001    0.000    0.029    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:272(_compile)
      672    0.029    0.000    0.029    0.000 {method 'encode' of 'ImagingEncoder' objects}
      171    0.000    0.000    0.029    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:225(compile)
        6    0.028    0.005    0.028    0.005 {built-in method posix.read}
       66    0.001    0.000    0.027    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:738(compile)
        1    0.000    0.000    0.027    0.027 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_app.py:1(<module>)
      418    0.006    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.001    0.001    0.025    0.025 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1424(start_ray_processes)
      735    0.000    0.000    0.022    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:331(__init__)
      132    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      735    0.002    0.000    0.022    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:334(_init)
      132    0.021    0.000    0.021    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.021    0.021 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_websocket.py:1(<module>)
        1    0.000    0.000    0.021    0.021 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/prometheus_client/__init__.py:1(<module>)
        1    0.000    0.000    0.020    0.020 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/helpers.py:1(<module>)
      138    0.000    0.000    0.020    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:298(_compile_and_eval)
      735    0.000    0.000    0.019    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:713(create_time)
        1    0.000    0.000    0.018    0.018 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/grpc/_compression.py:1(<module>)
