         313219 function calls (308076 primitive calls) in 21.950 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   21.951   21.951 /Users/armaan/Desktop/Fall-2023 Classes/Cloud-Computing/ECE-465-Cloud-Computing/ray_cluster_mandelbrot_solver/src/helpers.py:37(generate_mandelbrot_video)
       45    0.000    0.000   20.543    0.457 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/auto_init_hook.py:21(auto_init_wrapper)
    71/50    0.000    0.000   20.163    0.403 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/client_mode_hook.py:92(wrapper)
        3    0.001    0.000   15.107    5.036 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:2462(get)
        3    0.000    0.000   15.106    5.035 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:730(get_objects)
        3   15.076    5.025   15.076    5.025 {method 'get_objects' of 'ray._raylet.CoreWorker' objects}
       42    0.000    0.000    5.436    0.129 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/remote_function.py:132(_remote_proxy)
       45    0.000    0.000    5.057    0.112 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/auto_init_hook.py:9(auto_init_ray)
        1    0.000    0.000    5.056    5.056 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:1124(init)
        1    2.635    2.635    2.642    2.642 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:2074(connect)
        1    0.003    0.003    2.357    2.357 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:52(__init__)
        1    0.000    0.000    2.320    2.320 /Users/armaan/Desktop/Fall-2023 Classes/Cloud-Computing/ECE-465-Cloud-Computing/ray_cluster_mandelbrot_solver/src/helpers.py:17(compile_video)
        1    0.001    0.001    1.989    1.989 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1395(start_head_processes)
        1    0.001    0.001    1.714    1.714 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1150(start_api_server)
        1    0.003    0.003    1.713    1.713 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:1037(start_api_server)
       14    1.432    0.102    1.432    0.102 {built-in method time.sleep}
        1    0.000    0.000    0.953    0.953 <decorator-gen-55>:1(write_videofile)
      2/1    0.000    0.000    0.953    0.953 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/decorators.py:47(requires_duration)
        1    0.000    0.000    0.953    0.953 <decorator-gen-54>:1(write_videofile)
      2/1    0.000    0.000    0.953    0.953 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/decorators.py:108(use_clip_fps_by_default)
        1    0.000    0.000    0.953    0.953 <decorator-gen-53>:1(write_videofile)
        1    0.000    0.000    0.953    0.953 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/decorators.py:17(convert_masks_to_RGB)
        1    0.000    0.000    0.953    0.953 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/VideoClip.py:131(write_videofile)
        1    0.001    0.001    0.936    0.936 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/io/ffmpeg_writer.py:199(ffmpeg_write_video)
       30    0.000    0.000    0.801    0.027 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/__init__.py:67(imread)
       30    0.001    0.000    0.799    0.027 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/v2.py:334(imread)
       30    0.000    0.000    0.773    0.026 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/plugins/pillow.py:130(read)
       30    0.002    0.000    0.773    0.026 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/plugins/pillow.py:280(_apply_transforms)
       30    0.001    0.000    0.711    0.024 {built-in method numpy.asarray}
       30    0.018    0.001    0.710    0.024 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/Image.py:668(__array_interface__)
       30    0.002    0.000    0.691    0.023 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/Image.py:708(tobytes)
       60    0.004    0.000    0.618    0.010 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/ImageFile.py:155(load)
   253/42    0.002    0.000    0.597    0.014 <frozen importlib._bootstrap>:1165(_find_and_load)
   224/13    0.002    0.000    0.597    0.046 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
      246    0.592    0.002    0.592    0.002 {method 'decode' of 'ImagingDecoder' objects}
   171/11    0.001    0.000    0.591    0.054 <frozen importlib._bootstrap>:666(_load_unlocked)
   137/11    0.001    0.000    0.591    0.054 <frozen importlib._bootstrap_external>:934(exec_module)
   464/22    0.000    0.000    0.588    0.027 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   153/11    0.003    0.000    0.581    0.053 {built-in method builtins.exec}
        2    0.000    0.000    0.566    0.283 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/utils.py:1522(check_dashboard_dependencies_installed)
        1    0.000    0.000    0.561    0.561 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/dashboard/optional_deps.py:1(<module>)
        1    0.000    0.000    0.464    0.464 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/io/ffmpeg_writer.py:196(__exit__)
        1    0.000    0.000    0.464    0.464 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/io/ffmpeg_writer.py:182(close)
       12    0.464    0.039    0.464    0.039 {built-in method posix.waitpid}
        1    0.000    0.000    0.464    0.464 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/subprocess.py:1259(wait)
        1    0.000    0.000    0.464    0.464 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/subprocess.py:2014(_wait)
        1    0.000    0.000    0.464    0.464 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/subprocess.py:2001(_try_wait)
        1    0.000    0.000    0.454    0.454 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/io/ImageSequenceClip.py:50(__init__)
    37/27    0.000    0.000    0.400    0.015 {built-in method builtins.__import__}
   202/95    0.000    0.000    0.397    0.004 <frozen importlib._bootstrap>:1207(_handle_fromlist)
       42    0.000    0.000    0.378    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/util/tracing/tracing_helper.py:297(_invocation_remote_span)
       42    0.003    0.000    0.378    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/remote_function.py:255(_remote)
       15    0.000    0.000    0.371    0.025 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/io/ImageSequenceClip.py:114(make_frame)
       15    0.000    0.000    0.355    0.024 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/Clip.py:442(iter_frames)
       14    0.000    0.000    0.348    0.025 <decorator-gen-11>:1(get_frame)
       14    0.000    0.000    0.348    0.025 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/decorators.py:78(wrapper)
       14    0.000    0.000    0.348    0.025 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/Clip.py:77(get_frame)
       42    0.001    0.000    0.333    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/remote_function.py:397(invocation)
