         415831 function calls (410937 primitive calls) in 33.015 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   33.016   33.016 /Users/armaan/Desktop/Fall-2023 Classes/Cloud-Computing/ECE-465-Cloud-Computing/ray_cluster_mandelbrot_solver/helpers.py:37(generate_mandelbrot_video)
      153    0.001    0.000   20.540    0.134 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/auto_init_hook.py:21(auto_init_wrapper)
  178/158    0.001    0.000   19.902    0.126 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/client_mode_hook.py:92(wrapper)
        1    0.000    0.000   18.622   18.622 /Users/armaan/Desktop/Fall-2023 Classes/Cloud-Computing/ECE-465-Cloud-Computing/ray_cluster_mandelbrot_solver/helpers.py:17(compile_video)
        3    0.001    0.000   15.856    5.285 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:2462(get)
        3    0.000    0.000   15.856    5.285 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:730(get_objects)
        3   15.835    5.278   15.835    5.278 {method 'get_objects' of 'ray._raylet.CoreWorker' objects}
      102    0.001    0.000    9.080    0.089 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/__init__.py:67(imread)
      102    0.002    0.000    9.074    0.089 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/v2.py:334(imread)
      102    0.001    0.000    8.885    0.087 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/plugins/pillow.py:130(read)
      102    0.005    0.000    8.884    0.087 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/plugins/pillow.py:280(_apply_transforms)
      102    0.002    0.000    8.176    0.080 {built-in method numpy.asarray}
      102    0.230    0.002    8.173    0.080 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/Image.py:668(__array_interface__)
      102    0.020    0.000    7.941    0.078 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/Image.py:708(tobytes)
        1    0.000    0.000    7.745    7.745 <decorator-gen-55>:1(write_videofile)
      2/1    0.000    0.000    7.745    7.745 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/decorators.py:47(requires_duration)
        1    0.000    0.000    7.745    7.745 <decorator-gen-54>:1(write_videofile)
      2/1    0.000    0.000    7.745    7.745 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/decorators.py:108(use_clip_fps_by_default)
        1    0.000    0.000    7.745    7.745 <decorator-gen-53>:1(write_videofile)
        1    0.000    0.000    7.745    7.745 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/decorators.py:17(convert_masks_to_RGB)
        1    0.000    0.000    7.745    7.745 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/VideoClip.py:131(write_videofile)
